2019-06-06 20:24:43,924 - DEBUG - {'total': 64384004096, 'available': 61793185792, 'percent': 4.0, 'used': 1979883520, 'free': 61623275520, 'active': 2119393280, 'inactive': 314138624, 'buffers': 33767424, 'cached': 747077632, 'shared': 6365184, 'slab': 58552320}
2019-06-06 20:25:07,787 - DEBUG - {'total': 64384004096, 'available': 61745176576, 'percent': 4.1, 'used': 2027872256, 'free': 61574995968, 'active': 2166538240, 'inactive': 314372096, 'buffers': 33792000, 'cached': 747343872, 'shared': 6365184, 'slab': 57909248}
2019-06-06 20:25:26,423 - DEBUG - {'total': 64384004096, 'available': 61744283648, 'percent': 4.1, 'used': 2028732416, 'free': 61573959680, 'active': 2166976512, 'inactive': 314515456, 'buffers': 33800192, 'cached': 747511808, 'shared': 6365184, 'slab': 58093568}
2019-06-06 20:26:38,577 - DEBUG - {'total': 64384004096, 'available': 61627006976, 'percent': 4.3, 'used': 2146037760, 'free': 61456183296, 'active': 2280914944, 'inactive': 314957824, 'buffers': 33832960, 'cached': 747950080, 'shared': 6365184, 'slab': 60989440}
2019-06-06 20:26:48,544 - DEBUG - {'total': 64384004096, 'available': 61630996480, 'percent': 4.3, 'used': 2142040064, 'free': 61460058112, 'active': 2280615936, 'inactive': 315072512, 'buffers': 33841152, 'cached': 748064768, 'shared': 6365184, 'slab': 57446400}
2019-06-06 20:27:02,680 - DEBUG - {'total': 64384004096, 'available': 61631246336, 'percent': 4.3, 'used': 2141786112, 'free': 61460107264, 'active': 2279870464, 'inactive': 315228160, 'buffers': 33857536, 'cached': 748253184, 'shared': 6365184, 'slab': 57884672}
2019-06-06 20:27:21,460 - DEBUG - {'total': 64384004096, 'available': 61631004672, 'percent': 4.3, 'used': 2142019584, 'free': 61459701760, 'active': 2280132608, 'inactive': 315392000, 'buffers': 33865728, 'cached': 748417024, 'shared': 6365184, 'slab': 58236928}
2019-06-06 20:27:41,568 - DEBUG - {'total': 64384004096, 'available': 61631156224, 'percent': 4.3, 'used': 2141851648, 'free': 61459652608, 'active': 2280214528, 'inactive': 315584512, 'buffers': 33878016, 'cached': 748621824, 'shared': 6365184, 'slab': 57765888}
2019-06-06 20:27:55,911 - DEBUG - {'total': 64384004096, 'available': 61631610880, 'percent': 4.3, 'used': 2141380608, 'free': 61459894272, 'active': 2280480768, 'inactive': 315768832, 'buffers': 33886208, 'cached': 748843008, 'shared': 6365184, 'slab': 57413632}
2019-06-06 20:28:13,415 - DEBUG - {'total': 64384004096, 'available': 61630545920, 'percent': 4.3, 'used': 2142453760, 'free': 61458628608, 'active': 2280816640, 'inactive': 315936768, 'buffers': 33902592, 'cached': 749019136, 'shared': 6365184, 'slab': 58441728}
2019-06-06 20:28:36,004 - DEBUG - {'total': 64384004096, 'available': 61629632512, 'percent': 4.3, 'used': 2143318016, 'free': 61457559552, 'active': 2280833024, 'inactive': 316067840, 'buffers': 33910784, 'cached': 749215744, 'shared': 6365184, 'slab': 59277312}
2019-06-06 20:28:59,001 - DEBUG - {'total': 64384004096, 'available': 61630455808, 'percent': 4.3, 'used': 2142470144, 'free': 61458198528, 'active': 2280878080, 'inactive': 316239872, 'buffers': 33918976, 'cached': 749416448, 'shared': 6365184, 'slab': 58241024}
2019-06-06 20:29:16,122 - DEBUG - {'total': 64384004096, 'available': 61630738432, 'percent': 4.3, 'used': 2142212096, 'free': 61458272256, 'active': 2280898560, 'inactive': 316432384, 'buffers': 33931264, 'cached': 749588480, 'shared': 6365184, 'slab': 57913344}
2019-06-06 20:29:24,244 - DEBUG - {'total': 64384004096, 'available': 61631012864, 'percent': 4.3, 'used': 2141933568, 'free': 61458419712, 'active': 2280902656, 'inactive': 316555264, 'buffers': 33939456, 'cached': 749711360, 'shared': 6365184, 'slab': 57720832}
2019-06-06 20:29:42,261 - DEBUG - {'total': 64384004096, 'available': 61630836736, 'percent': 4.3, 'used': 2142105600, 'free': 61458010112, 'active': 2280923136, 'inactive': 316751872, 'buffers': 33951744, 'cached': 749936640, 'shared': 6365184, 'slab': 58007552}
2019-06-06 20:30:00,447 - DEBUG - {'total': 64384004096, 'available': 61630529536, 'percent': 4.3, 'used': 2142400512, 'free': 61457477632, 'active': 2281222144, 'inactive': 316968960, 'buffers': 33959936, 'cached': 750166016, 'shared': 6365184, 'slab': 57856000}
2019-06-06 20:30:12,728 - DEBUG - {'total': 64384004096, 'available': 61630779392, 'percent': 4.3, 'used': 2142150656, 'free': 61457534976, 'active': 2281193472, 'inactive': 317149184, 'buffers': 33968128, 'cached': 750350336, 'shared': 6365184, 'slab': 57565184}
2019-06-06 20:30:23,857 - DEBUG - {'total': 64384004096, 'available': 61630697472, 'percent': 4.3, 'used': 2142208000, 'free': 61457338368, 'active': 2281201664, 'inactive': 317255680, 'buffers': 33976320, 'cached': 750481408, 'shared': 6365184, 'slab': 57765888}
2019-06-06 20:30:52,577 - DEBUG - {'total': 64384004096, 'available': 61628960768, 'percent': 4.3, 'used': 2143920128, 'free': 61455364096, 'active': 2281213952, 'inactive': 317464576, 'buffers': 33996800, 'cached': 750723072, 'shared': 6365184, 'slab': 59609088}
2019-06-06 20:31:28,877 - DEBUG - {'total': 64384004096, 'available': 61628243968, 'percent': 4.3, 'used': 2144653312, 'free': 61454356480, 'active': 2281639936, 'inactive': 317718528, 'buffers': 34013184, 'cached': 750981120, 'shared': 6365184, 'slab': 59367424}
2019-06-06 20:31:38,561 - DEBUG - {'total': 64384004096, 'available': 61629632512, 'percent': 4.3, 'used': 2143256576, 'free': 61455626240, 'active': 2281504768, 'inactive': 317837312, 'buffers': 34021376, 'cached': 751099904, 'shared': 6365184, 'slab': 58097664}
2019-06-06 20:31:48,346 - DEBUG - {'total': 64384004096, 'available': 61630087168, 'percent': 4.3, 'used': 2142814208, 'free': 61455966208, 'active': 2281037824, 'inactive': 317894656, 'buffers': 34029568, 'cached': 751194112, 'shared': 6365184, 'slab': 58384384}
2019-06-06 20:32:06,662 - DEBUG - {'total': 64384004096, 'available': 61629943808, 'percent': 4.3, 'used': 2142941184, 'free': 61455597568, 'active': 2281054208, 'inactive': 318083072, 'buffers': 34045952, 'cached': 751419392, 'shared': 6365184, 'slab': 58400768}
