2019-06-06 21:10:08,628 - DEBUG - {'total': 64384004096, 'available': 61859692544, 'percent': 3.9, 'used': 1918980096, 'free': 61663203328, 'active': 2165489664, 'inactive': 308670464, 'buffers': 35201024, 'cached': 766619648, 'shared': 69632, 'slab': 50425856}
2019-06-06 21:13:28,678 - DEBUG - {'total': 64384004096, 'available': 61574643712, 'percent': 4.4, 'used': 2204033024, 'free': 61377949696, 'active': 2450034688, 'inactive': 308776960, 'buffers': 35274752, 'cached': 766746624, 'shared': 69632, 'slab': 50511872}
2019-06-06 21:27:30,767 - DEBUG - {'total': 64384004096, 'available': 60459552768, 'percent': 6.1, 'used': 3319107584, 'free': 60262293504, 'active': 3563032576, 'inactive': 308973568, 'buffers': 35569664, 'cached': 767033344, 'shared': 69632, 'slab': 50642944}
2019-06-06 21:38:41,665 - DEBUG - {'total': 64384004096, 'available': 60231020544, 'percent': 6.5, 'used': 3547631616, 'free': 60033384448, 'active': 3791773696, 'inactive': 309067776, 'buffers': 35790848, 'cached': 767197184, 'shared': 69632, 'slab': 50601984}
2019-06-06 21:51:48,014 - DEBUG - {'total': 64384004096, 'available': 59857797120, 'percent': 7.0, 'used': 3920842752, 'free': 59659612160, 'active': 4164206592, 'inactive': 309321728, 'buffers': 36057088, 'cached': 767492096, 'shared': 69632, 'slab': 50651136}
2019-06-06 22:04:52,640 - DEBUG - {'total': 64384004096, 'available': 59339399168, 'percent': 7.8, 'used': 4439236608, 'free': 59140820992, 'active': 4682199040, 'inactive': 309407744, 'buffers': 36306944, 'cached': 767639552, 'shared': 69632, 'slab': 50692096}
2019-06-06 22:10:28,399 - DEBUG - {'total': 64384004096, 'available': 59325014016, 'percent': 7.9, 'used': 4453621760, 'free': 59126185984, 'active': 4696801280, 'inactive': 309485568, 'buffers': 36433920, 'cached': 767762432, 'shared': 69632, 'slab': 50737152}
2019-06-06 22:14:24,603 - DEBUG - {'total': 64384004096, 'available': 59406741504, 'percent': 7.7, 'used': 4371881984, 'free': 59207737344, 'active': 4615196672, 'inactive': 309530624, 'buffers': 36515840, 'cached': 767868928, 'shared': 69632, 'slab': 50675712}
2019-06-06 22:26:00,302 - DEBUG - {'total': 64384004096, 'available': 59406635008, 'percent': 7.7, 'used': 4371976192, 'free': 59207237632, 'active': 4616298496, 'inactive': 309534720, 'buffers': 36741120, 'cached': 768049152, 'shared': 69632, 'slab': 50745344}
2019-06-06 22:42:22,804 - DEBUG - {'total': 64384004096, 'available': 59372457984, 'percent': 7.8, 'used': 4406140928, 'free': 59172532224, 'active': 4649828352, 'inactive': 309727232, 'buffers': 37060608, 'cached': 768270336, 'shared': 69632, 'slab': 50638848}
2019-06-06 22:45:56,768 - DEBUG - {'total': 64384004096, 'available': 59373248512, 'percent': 7.8, 'used': 4405342208, 'free': 59173183488, 'active': 4649525248, 'inactive': 309784576, 'buffers': 37126144, 'cached': 768352256, 'shared': 69632, 'slab': 50634752}
2019-06-06 22:50:27,887 - DEBUG - {'total': 64384004096, 'available': 59372830720, 'percent': 7.8, 'used': 4405764096, 'free': 59172548608, 'active': 4649701376, 'inactive': 309825536, 'buffers': 37216256, 'cached': 768475136, 'shared': 69632, 'slab': 50655232}
2019-06-06 22:57:11,587 - DEBUG - {'total': 64384004096, 'available': 59373121536, 'percent': 7.8, 'used': 4405473280, 'free': 59172548608, 'active': 4650262528, 'inactive': 309932032, 'buffers': 37343232, 'cached': 768638976, 'shared': 69632, 'slab': 50741248}
2019-06-06 23:09:36,371 - DEBUG - {'total': 64384004096, 'available': 59372363776, 'percent': 7.8, 'used': 4406218752, 'free': 59171373056, 'active': 4650528768, 'inactive': 309981184, 'buffers': 37601280, 'cached': 768811008, 'shared': 69632, 'slab': 50860032}
2019-06-06 23:17:17,651 - DEBUG - {'total': 64384004096, 'available': 59372404736, 'percent': 7.8, 'used': 4406165504, 'free': 59171024896, 'active': 4650827776, 'inactive': 310157312, 'buffers': 37769216, 'cached': 769044480, 'shared': 69632, 'slab': 50749440}
2019-06-06 23:23:17,610 - DEBUG - {'total': 64384004096, 'available': 59372326912, 'percent': 7.8, 'used': 4406235136, 'free': 59170627584, 'active': 4651208704, 'inactive': 310296576, 'buffers': 37904384, 'cached': 769236992, 'shared': 69632, 'slab': 50712576}
2019-06-06 23:32:26,470 - DEBUG - {'total': 64384004096, 'available': 59372929024, 'percent': 7.8, 'used': 4405628928, 'free': 59170881536, 'active': 4651405312, 'inactive': 310448128, 'buffers': 38080512, 'cached': 769413120, 'shared': 69632, 'slab': 50810880}
2019-06-06 23:41:17,824 - DEBUG - {'total': 64384004096, 'available': 59372240896, 'percent': 7.8, 'used': 4406308864, 'free': 59169832960, 'active': 4651548672, 'inactive': 310571008, 'buffers': 38273024, 'cached': 769589248, 'shared': 69632, 'slab': 50806784}
2019-06-06 23:55:52,424 - DEBUG - {'total': 64384004096, 'available': 59372531712, 'percent': 7.8, 'used': 4406009856, 'free': 59169656832, 'active': 4652093440, 'inactive': 310714368, 'buffers': 38563840, 'cached': 769773568, 'shared': 69632, 'slab': 50733056}
2019-06-07 00:38:57,505 - DEBUG - {'total': 64384004096, 'available': 58292584448, 'percent': 9.5, 'used': 5485924352, 'free': 58088521728, 'active': 5730304000, 'inactive': 310943744, 'buffers': 39354368, 'cached': 770203648, 'shared': 69632, 'slab': 50978816}
2019-06-07 00:45:00,971 - DEBUG - {'total': 64384004096, 'available': 58478841856, 'percent': 9.2, 'used': 5299650560, 'free': 58274504704, 'active': 5544570880, 'inactive': 311062528, 'buffers': 39477248, 'cached': 770371584, 'shared': 69632, 'slab': 51019776}
2019-06-07 00:51:11,435 - DEBUG - {'total': 64384004096, 'available': 58478923776, 'percent': 9.2, 'used': 5299576832, 'free': 58274316288, 'active': 5544620032, 'inactive': 311115776, 'buffers': 39604224, 'cached': 770506752, 'shared': 69632, 'slab': 51036160}
2019-06-07 00:58:15,806 - DEBUG - {'total': 64384004096, 'available': 58478833664, 'percent': 9.2, 'used': 5299662848, 'free': 58273968128, 'active': 5545054208, 'inactive': 311164928, 'buffers': 39751680, 'cached': 770621440, 'shared': 69632, 'slab': 50917376}
