2019-06-07 20:55:23,760 - DEBUG - {'total': 64384004096, 'available': 61831794688, 'percent': 4.0, 'used': 1941262336, 'free': 61661589504, 'active': 1763770368, 'inactive': 634187776, 'buffers': 33570816, 'cached': 747581440, 'shared': 6365184, 'slab': 56512512}
2019-06-07 20:55:32,886 - DEBUG - {'total': 64384004096, 'available': 61823111168, 'percent': 4.0, 'used': 1949929472, 'free': 61652553728, 'active': 1772748800, 'inactive': 634548224, 'buffers': 33583104, 'cached': 747937792, 'shared': 6365184, 'slab': 56160256}
2019-06-07 20:56:13,394 - DEBUG - {'total': 64384004096, 'available': 61808168960, 'percent': 4.0, 'used': 1964879872, 'free': 61637419008, 'active': 1786810368, 'inactive': 634707968, 'buffers': 33615872, 'cached': 748089344, 'shared': 6365184, 'slab': 55828480}
2019-06-07 20:56:36,709 - DEBUG - {'total': 64384004096, 'available': 61758631936, 'percent': 4.1, 'used': 2014408704, 'free': 61587640320, 'active': 1835167744, 'inactive': 634929152, 'buffers': 33624064, 'cached': 748331008, 'shared': 6365184, 'slab': 57020416}
2019-06-07 20:56:59,634 - DEBUG - {'total': 64384004096, 'available': 61751386112, 'percent': 4.1, 'used': 2021634048, 'free': 61580156928, 'active': 1841852416, 'inactive': 635142144, 'buffers': 33636352, 'cached': 748576768, 'shared': 6365184, 'slab': 57671680}
2019-06-07 20:57:08,699 - DEBUG - {'total': 64384004096, 'available': 61752156160, 'percent': 4.1, 'used': 2020810752, 'free': 61580832768, 'active': 1841917952, 'inactive': 635224064, 'buffers': 33644544, 'cached': 748716032, 'shared': 6365184, 'slab': 56504320}
2019-06-07 20:57:22,161 - DEBUG - {'total': 64384004096, 'available': 61751492608, 'percent': 4.1, 'used': 2021515264, 'free': 61579980800, 'active': 1841917952, 'inactive': 635412480, 'buffers': 33652736, 'cached': 748855296, 'shared': 6365184, 'slab': 57196544}
2019-06-07 20:57:37,937 - DEBUG - {'total': 64384004096, 'available': 61751037952, 'percent': 4.1, 'used': 2021969920, 'free': 61579268096, 'active': 1842425856, 'inactive': 635629568, 'buffers': 33673216, 'cached': 749092864, 'shared': 6365184, 'slab': 57233408}
2019-06-07 20:58:12,159 - DEBUG - {'total': 64384004096, 'available': 61743280128, 'percent': 4.1, 'used': 2029744128, 'free': 61571252224, 'active': 1848303616, 'inactive': 635858944, 'buffers': 33689600, 'cached': 749318144, 'shared': 6365184, 'slab': 59219968}
2019-06-07 20:58:23,032 - DEBUG - {'total': 64384004096, 'available': 61745090560, 'percent': 4.1, 'used': 2027876352, 'free': 61572911104, 'active': 1848414208, 'inactive': 635985920, 'buffers': 33697792, 'cached': 749518848, 'shared': 6365184, 'slab': 57274368}
2019-06-07 20:58:33,225 - DEBUG - {'total': 64384004096, 'available': 61744701440, 'percent': 4.1, 'used': 2028232704, 'free': 61572407296, 'active': 1848414208, 'inactive': 636100608, 'buffers': 33705984, 'cached': 749658112, 'shared': 6365184, 'slab': 57458688}
2019-06-07 20:59:03,162 - DEBUG - {'total': 64384004096, 'available': 61743894528, 'percent': 4.1, 'used': 2029101056, 'free': 61571272704, 'active': 1848049664, 'inactive': 636399616, 'buffers': 33718272, 'cached': 749912064, 'shared': 6365184, 'slab': 58925056}
2019-06-07 20:59:42,225 - DEBUG - {'total': 64384004096, 'available': 61722603520, 'percent': 4.1, 'used': 2050379776, 'free': 61549735936, 'active': 1869881344, 'inactive': 636645376, 'buffers': 33730560, 'cached': 750157824, 'shared': 6365184, 'slab': 58556416}
2019-06-07 21:00:22,892 - DEBUG - {'total': 64384004096, 'available': 61710270464, 'percent': 4.2, 'used': 2062680064, 'free': 61537087488, 'active': 1881243648, 'inactive': 636903424, 'buffers': 33751040, 'cached': 750485504, 'shared': 6365184, 'slab': 59260928}
2019-06-07 21:00:45,746 - DEBUG - {'total': 64384004096, 'available': 61711474688, 'percent': 4.2, 'used': 2061447168, 'free': 61538111488, 'active': 1881268224, 'inactive': 637079552, 'buffers': 33763328, 'cached': 750682112, 'shared': 6365184, 'slab': 58126336}
2019-06-07 21:01:04,928 - DEBUG - {'total': 64384004096, 'available': 61711273984, 'percent': 4.2, 'used': 2061639680, 'free': 61537665024, 'active': 1881325568, 'inactive': 637198336, 'buffers': 33792000, 'cached': 750907392, 'shared': 6365184, 'slab': 58306560}
2019-06-07 21:01:49,272 - DEBUG - {'total': 64384004096, 'available': 61709877248, 'percent': 4.2, 'used': 2062999552, 'free': 61536014336, 'active': 1881354240, 'inactive': 637415424, 'buffers': 33812480, 'cached': 751177728, 'shared': 6365184, 'slab': 59707392}
2019-06-07 21:02:05,396 - DEBUG - {'total': 64384004096, 'available': 61711540224, 'percent': 4.2, 'used': 2061340672, 'free': 61537460224, 'active': 1881378816, 'inactive': 637591552, 'buffers': 33828864, 'cached': 751374336, 'shared': 6365184, 'slab': 58028032}
2019-06-07 21:02:22,069 - DEBUG - {'total': 64384004096, 'available': 61711564800, 'percent': 4.2, 'used': 2061307904, 'free': 61537284096, 'active': 1881419776, 'inactive': 637784064, 'buffers': 33837056, 'cached': 751575040, 'shared': 6365184, 'slab': 58056704}
2019-06-07 21:02:48,130 - DEBUG - {'total': 64384004096, 'available': 61708480512, 'percent': 4.2, 'used': 2064379904, 'free': 61533892608, 'active': 1883914240, 'inactive': 637468672, 'buffers': 33853440, 'cached': 751878144, 'shared': 6365184, 'slab': 58699776}
2019-06-07 21:03:04,212 - DEBUG - {'total': 64384004096, 'available': 61709053952, 'percent': 4.2, 'used': 2063843328, 'free': 61534248960, 'active': 1883992064, 'inactive': 637661184, 'buffers': 33869824, 'cached': 752041984, 'shared': 6365184, 'slab': 57933824}
2019-06-07 21:03:34,211 - DEBUG - {'total': 64384004096, 'available': 61708021760, 'percent': 4.2, 'used': 2064809984, 'free': 61533040640, 'active': 1884012544, 'inactive': 637825024, 'buffers': 33886208, 'cached': 752267264, 'shared': 6365184, 'slab': 58916864}
2019-06-07 21:03:51,903 - DEBUG - {'total': 64384004096, 'available': 61708873728, 'percent': 4.2, 'used': 2063949824, 'free': 61533679616, 'active': 1884020736, 'inactive': 638013440, 'buffers': 33898496, 'cached': 752476160, 'shared': 6365184, 'slab': 58130432}
2019-06-07 21:04:08,625 - DEBUG - {'total': 64384004096, 'available': 61708750848, 'percent': 4.2, 'used': 2064105472, 'free': 61533306880, 'active': 1884053504, 'inactive': 638226432, 'buffers': 33914880, 'cached': 752676864, 'shared': 6365184, 'slab': 58261504}
2019-06-07 21:04:27,610 - DEBUG - {'total': 64384004096, 'available': 61707833344, 'percent': 4.2, 'used': 2064949248, 'free': 61532266496, 'active': 1884065792, 'inactive': 638341120, 'buffers': 33927168, 'cached': 752861184, 'shared': 6365184, 'slab': 59113472}
2019-06-07 21:04:41,130 - DEBUG - {'total': 64384004096, 'available': 61709066240, 'percent': 4.2, 'used': 2063745024, 'free': 61533286400, 'active': 1884078080, 'inactive': 638545920, 'buffers': 33935360, 'cached': 753037312, 'shared': 6365184, 'slab': 57909248}
2019-06-07 21:05:22,101 - DEBUG - {'total': 64384004096, 'available': 61706772480, 'percent': 4.2, 'used': 2066038784, 'free': 61530689536, 'active': 1884123136, 'inactive': 638787584, 'buffers': 33968128, 'cached': 753307648, 'shared': 6365184, 'slab': 60133376}
2019-06-07 21:05:40,663 - DEBUG - {'total': 64384004096, 'available': 61708484608, 'percent': 4.2, 'used': 2064347136, 'free': 61532168192, 'active': 1884139520, 'inactive': 638988288, 'buffers': 33984512, 'cached': 753504256, 'shared': 6365184, 'slab': 58429440}
2019-06-07 21:06:56,571 - DEBUG - {'total': 64384004096, 'available': 61686353920, 'percent': 4.2, 'used': 2086490112, 'free': 61509677056, 'active': 1907142656, 'inactive': 639324160, 'buffers': 34009088, 'cached': 753827840, 'shared': 6365184, 'slab': 57364480}
2019-06-07 21:07:32,857 - DEBUG - {'total': 64384004096, 'available': 61684293632, 'percent': 4.2, 'used': 2088534016, 'free': 61507371008, 'active': 1907163136, 'inactive': 639545344, 'buffers': 34021376, 'cached': 754077696, 'shared': 6365184, 'slab': 59256832}
2019-06-07 21:07:59,125 - DEBUG - {'total': 64384004096, 'available': 61684891648, 'percent': 4.2, 'used': 2087903232, 'free': 61507698688, 'active': 1907171328, 'inactive': 639787008, 'buffers': 34037760, 'cached': 754364416, 'shared': 6365184, 'slab': 58937344}
2019-06-07 21:08:33,249 - DEBUG - {'total': 64384004096, 'available': 61684129792, 'percent': 4.2, 'used': 2088632320, 'free': 61506736128, 'active': 1907195904, 'inactive': 639954944, 'buffers': 34054144, 'cached': 754581504, 'shared': 6365184, 'slab': 59838464}
2019-06-07 21:08:51,567 - DEBUG - {'total': 64384004096, 'available': 61685489664, 'percent': 4.2, 'used': 2087276544, 'free': 61507915776, 'active': 1907200000, 'inactive': 640131072, 'buffers': 34062336, 'cached': 754749440, 'shared': 6365184, 'slab': 58548224}
2019-06-07 21:09:17,912 - DEBUG - {'total': 64384004096, 'available': 61685170176, 'percent': 4.2, 'used': 2087620608, 'free': 61507325952, 'active': 1907228672, 'inactive': 640376832, 'buffers': 34078720, 'cached': 754978816, 'shared': 6365184, 'slab': 58793984}
2019-06-07 21:09:50,491 - DEBUG - {'total': 64384004096, 'available': 61684678656, 'percent': 4.2, 'used': 2088009728, 'free': 61506703360, 'active': 1907228672, 'inactive': 640491520, 'buffers': 34095104, 'cached': 755195904, 'shared': 6365184, 'slab': 59330560}
2019-06-07 21:10:35,355 - DEBUG - {'total': 64384004096, 'available': 61683548160, 'percent': 4.2, 'used': 2089177088, 'free': 61505241088, 'active': 1907273728, 'inactive': 640765952, 'buffers': 34123776, 'cached': 755462144, 'shared': 6365184, 'slab': 60448768}
2019-06-07 21:10:52,790 - DEBUG - {'total': 64384004096, 'available': 61685334016, 'percent': 4.2, 'used': 2087419904, 'free': 61506781184, 'active': 1907281920, 'inactive': 641003520, 'buffers': 34131968, 'cached': 755671040, 'shared': 6365184, 'slab': 58679296}
2019-06-07 21:11:07,391 - DEBUG - {'total': 64384004096, 'available': 61685768192, 'percent': 4.2, 'used': 2086989824, 'free': 61507035136, 'active': 1906802688, 'inactive': 641175552, 'buffers': 34148352, 'cached': 755830784, 'shared': 6365184, 'slab': 58314752}
2019-06-07 21:11:40,503 - DEBUG - {'total': 64384004096, 'available': 61686816768, 'percent': 4.2, 'used': 2085904384, 'free': 61507870720, 'active': 1906810880, 'inactive': 641359872, 'buffers': 34160640, 'cached': 756068352, 'shared': 6365184, 'slab': 57405440}
2019-06-07 21:12:13,778 - DEBUG - {'total': 64384004096, 'available': 61684572160, 'percent': 4.2, 'used': 2088120320, 'free': 61505445888, 'active': 1906843648, 'inactive': 641499136, 'buffers': 34181120, 'cached': 756256768, 'shared': 6365184, 'slab': 59711488}
2019-06-07 21:12:46,932 - DEBUG - {'total': 64384004096, 'available': 61684699136, 'percent': 4.2, 'used': 2087944192, 'free': 61505400832, 'active': 1906843648, 'inactive': 641671168, 'buffers': 34197504, 'cached': 756461568, 'shared': 6365184, 'slab': 59678720}
2019-06-07 21:13:03,731 - DEBUG - {'total': 64384004096, 'available': 61686312960, 'percent': 4.2, 'used': 2086379520, 'free': 61506740224, 'active': 1906905088, 'inactive': 641908736, 'buffers': 34213888, 'cached': 756670464, 'shared': 6365184, 'slab': 58073088}
2019-06-07 21:13:18,779 - DEBUG - {'total': 64384004096, 'available': 61686267904, 'percent': 4.2, 'used': 2086465536, 'free': 61506473984, 'active': 1906917376, 'inactive': 642121728, 'buffers': 34226176, 'cached': 756838400, 'shared': 6365184, 'slab': 58232832}
2019-06-07 21:13:37,216 - DEBUG - {'total': 64384004096, 'available': 61686378496, 'percent': 4.2, 'used': 2086330368, 'free': 61506379776, 'active': 1906933760, 'inactive': 642289664, 'buffers': 34238464, 'cached': 757055488, 'shared': 6365184, 'slab': 58200064}
2019-06-07 21:14:36,513 - DEBUG - {'total': 64384004096, 'available': 61682061312, 'percent': 4.2, 'used': 2090647552, 'free': 61501747200, 'active': 1907421184, 'inactive': 642576384, 'buffers': 34263040, 'cached': 757346304, 'shared': 6365184, 'slab': 61444096}
2019-06-07 21:15:27,835 - DEBUG - {'total': 64384004096, 'available': 61646151680, 'percent': 4.3, 'used': 2126544896, 'free': 61465464832, 'active': 1945485312, 'inactive': 642543616, 'buffers': 34299904, 'cached': 757694464, 'shared': 6365184, 'slab': 59899904}
2019-06-07 21:16:21,605 - DEBUG - {'total': 64384004096, 'available': 61647450112, 'percent': 4.3, 'used': 2125168640, 'free': 61466525696, 'active': 1945645056, 'inactive': 642732032, 'buffers': 34324480, 'cached': 757985280, 'shared': 6365184, 'slab': 58486784}
2019-06-07 21:16:44,241 - DEBUG - {'total': 64384004096, 'available': 61647036416, 'percent': 4.3, 'used': 2125619200, 'free': 61465874432, 'active': 1945661440, 'inactive': 642961408, 'buffers': 34336768, 'cached': 758173696, 'shared': 6365184, 'slab': 58961920}
2019-06-07 21:17:10,278 - DEBUG - {'total': 64384004096, 'available': 61645684736, 'percent': 4.3, 'used': 2126938112, 'free': 61464334336, 'active': 1945698304, 'inactive': 643108864, 'buffers': 34361344, 'cached': 758370304, 'shared': 6365184, 'slab': 59953152}
2019-06-07 21:18:15,159 - DEBUG - {'total': 64384004096, 'available': 61645058048, 'percent': 4.3, 'used': 2127605760, 'free': 61463293952, 'active': 1945862144, 'inactive': 643469312, 'buffers': 34394112, 'cached': 758710272, 'shared': 6365184, 'slab': 60674048}
2019-06-07 21:18:26,474 - DEBUG - {'total': 64384004096, 'available': 61647773696, 'percent': 4.2, 'used': 2124865536, 'free': 61465862144, 'active': 1945493504, 'inactive': 643608576, 'buffers': 34402304, 'cached': 758874112, 'shared': 6365184, 'slab': 58245120}
2019-06-07 21:19:18,638 - DEBUG - {'total': 64384004096, 'available': 61645135872, 'percent': 4.3, 'used': 2127482880, 'free': 61462896640, 'active': 1945534464, 'inactive': 643874816, 'buffers': 34430976, 'cached': 759193600, 'shared': 6365184, 'slab': 60956672}
